state,mcaid_kff
United States,4.7591E+11
Alabama,5241269869
Alaska,1427318378
Arizona,9238879857
Arkansas,4896343079
California,63941985764
Colorado,5959722512
Connecticut,7231192158
Delaware,1726180013
District of Columbia,2380846860
Florida,20425755781
Georgia,9485829472
Hawaii,1995172756
Idaho,1608317929
Illinois,16726311174
Indiana,9129913143
Iowa,4038005449
Kansas,2764679297
Kentucky,7907494806
Louisiana,7358578753
Maine,2457176578
Maryland,9372761056
Massachusetts,14602722338
Michigan,13581206280
Minnesota,10056174660
Mississippi,4884227315
Missouri,8924174353
Montana,1085468758
Nebraska,1816793313
Nevada,2300129644
New Hampshire,1343718320
New Jersey,12574194894
New Mexico,4181527866
New York,54204075597
North Carolina,12097786918
North Dakota,654709673
Ohio,19582062348
Oklahoma,4965898204
Oregon,6831542103
Pennsylvania,23622494930
Rhode Island,2448256487
South Carolina,5552937136
South Dakota,784945933
Tennessee,9263093195
Texas,32202713428
Utah,2093941709
Vermont,1534774141
Virginia,7611531956
Washington,10403319036
West Virginia,3349005677
Wisconsin,7494803035
Wyoming,547711059
